year,hour,season,avg_load_mw,avg_wind_mw,avg_solar_mw,net_load_mw,season_min_net_load,evening_peak_net_load,duck_curve_depth_mw
2016,20,winter,39060.71256056815,6853.540971449758,108.56198244963541,32098.60960666876,24447.651108148897,32098.60960666876,7650.9584985198635
2016,21,winter,38661.37374875598,6853.540971449759,108.56198244963538,31699.270794856577,24447.651108148897,32098.60960666876,7650.9584985198635
2016,22,winter,37622.05584458351,6853.540971449759,108.56198244963541,30659.95289068411,24447.651108148897,32098.60960666876,7650.9584985198635
2016,23,winter,35754.47665579161,6853.540971449758,108.56198244963541,28792.373701892215,24447.651108148897,32098.60960666876,7650.9584985198635
2017,0,shoulder,35732.20360670779,8416.651732377539,316.9280167264038,26998.623857603856,21496.51040897273,36833.2303512961,15336.719942323372
2017,1,shoulder,33336.230001383374,8416.651732377539,316.9280167264038,24602.65025227943,21496.51040897273,36833.2303512961,15336.719942323372
2017,2,shoulder,31764.07219601818,8416.651732377539,316.9280167264038,23030.49244691423,21496.51040897273,36833.2303512961,15336.719942323372
2017,3,shoulder,30745.353002169053,8416.651732377539,316.9280167264038,22011.77325306511,21496.51040897273,36833.2303512961,15336.719942323372
2017,4,shoulder,30230.09015807667,8416.651732377539,316.9280167264038,21496.51040897273,21496.51040897273,36833.2303512961,15336.719942323372
2017,5,shoulder,30378.107319985214,8416.651732377539,316.9280167264038,21644.527570881273,21496.51040897273,36833.2303512961,15336.719942323372
2017,6,shoulder,31678.07349843075,8416.651732377539,316.9280167264038,22944.493749326808,21496.51040897273,36833.2303512961,15336.719942323372
2017,7,shoulder,34115.71936713328,8416.651732377539,316.9280167264038,25382.139618029334,21496.51040897273,36833.2303512961,15336.719942323372
2017,8,shoulder,35168.32890224757,8416.651732377539,316.9280167264038,26434.749153143635,21496.51040897273,36833.2303512961,15336.719942323372
2017,9,shoulder,36063.93783881129,8416.651732377539,316.9280167264038,27330.358089707344,21496.51040897273,36833.2303512961,15336.719942323372
2017,10,shoulder,37588.313701038336,8416.651732377539,316.9280167264038,28854.733951934395,21496.51040897273,36833.2303512961,15336.719942323372
2017,11,shoulder,39203.407563596396,8416.651732377539,316.9280167264038,30469.827814492455,21496.51040897273,36833.2303512961,15336.719942323372
2017,12,shoulder,40674.77632417392,8416.651732377539,316.9280167264039,31941.196575069986,21496.51040897273,36833.2303512961,15336.719942323372
2017,13,shoulder,41990.455510101325,8416.651732377539,316.9280167264038,33256.87576099738,21496.51040897273,36833.2303512961,15336.719942323372
2017,14,shoulder,43308.727293225376,8416.651732377539,316.9280167264038,34575.147544121435,21496.51040897273,36833.2303512961,15336.719942323372
2017,15,shoulder,44344.06619472251,8416.651732377539,316.9280167264038,35610.48644561857,21496.51040897273,36833.2303512961,15336.719942323372
2017,16,shoulder,45090.062252247495,8416.65173237754,316.9280167264038,36356.482503143554,21496.51040897273,36833.2303512961,15336.719942323372
2017,17,shoulder,45566.810100400035,8416.651732377539,316.9280167264038,36833.2303512961,21496.51040897273,36833.2303512961,15336.719942323372
2017,18,shoulder,45486.872628922116,8416.651732377539,316.9280167264038,36753.292879818175,21496.51040897273,36833.2303512961,15336.719942323372
2017,19,shoulder,44743.184005079114,8416.651732377539,316.9280167264038,36009.604255975166,21496.51040897273,36833.2303512961,15336.719942323372
2017,20,shoulder,43820.477759373076,8416.651732377539,316.9280167264038,35086.89801026913,21496.51040897273,36833.2303512961,15336.719942323372
2017,21,shoulder,43197.68880356683,8416.651732377539,316.9280167264038,34464.109054462904,21496.51040897273,36833.2303512961,15336.719942323372
2017,22,shoulder,41520.68643963663,8416.65173237754,316.9280167264038,32787.10669053268,21496.51040897273,36833.2303512961,15336.719942323372
2017,23,shoulder,38753.39401340444,8416.651732377539,316.9280167264038,30019.8142643005,21496.51040897273,36833.2303512961,15336.719942323372
2017,0,summer,46197.18735951255,5916.353046594982,378.7037037037037,39902.13060921386,31061.983960780886,54588.88137691171,23526.897416130825
2017,1,summer,42921.41119499427,5916.353046594982,378.7037037037037,36626.35444469558,31061.983960780886,54588.88137691171,23526.897416130825
2017,2,summer,40526.831931456625,5916.353046594982,378.7037037037037,34231.775181157944,31061.983960780886,54588.88137691171,23526.897416130825
2017,3,summer,38797.23717257168,5916.353046594982,378.7037037037037,32502.180422273,31061.983960780886,54588.88137691171,23526.897416130825
2017,4,summer,37692.48884591828,5916.353046594982,378.7037037037037,31397.432095619588,31061.983960780886,54588.88137691171,23526.897416130825
2017,5,summer,37357.04071107957,5916.353046594982,378.7037037037037,31061.983960780886,31061.983960780886,54588.88137691171,23526.897416130825
2017,6,summer,38071.63886530825,5916.353046594982,378.7037037037037,31776.58211500956,31061.983960780886,54588.88137691171,23526.897416130825
2017,7,summer,39344.32207859104,5916.353046594982,378.7037037037037,33049.26532829235,31061.983960780886,54588.88137691171,23526.897416130825
